time_ps,"total_energy[kJ/mol]","kinetic_energy[kJ/mol]","potential_energy[kJ/mol]","temperature[K]","radius_of_gyration[Å]","end_to_end_dist[Å]"
0.6700,23.33965552119687,16.732547335142357,6.607108186054514,335.41047897691016,1.5165584996887767,2.588565789500787
0.6800,23.371491353889496,13.280535015259602,10.090956338629892,266.21353708544297,1.5216213259732845,2.624397015837825
0.6900,24.00430799102165,12.499064405916911,11.50524358510474,250.5486519883897,1.5244957001127808,2.6555515300266728
0.7000,24.53002616170934,13.150428446376104,11.379597715333237,263.6054998444185,1.523070234341104,2.653428868772084
0.7100,24.764004762436713,15.362364223889982,9.40164053854673,307.94462070522803,1.5235419536464898,2.616641827765221
0.7200,24.753315903446712,15.303949804482631,9.449366098964083,306.7736807401321,1.5320102021952642,2.5864074908702612
0.7300,24.831708121525665,15.133415380669689,9.698292740855976,303.35525127882596,1.5428947429954898,2.5710926911528644
0.7400,24.78325830796536,16.028669721914767,8.754588586050595,321.3009759427876,1.5430386173534323,2.536439057835819
0.7500,24.66438395785375,16.75027851054443,7.914105447309323,335.7659073474573,1.524926966378779,2.4715554442962304
0.7600,24.07823444481817,18.707439357260245,5.370795087557927,374.9979647194451,1.494515760924829,2.4086821619406944
0.7700,23.85517431057208,15.121696615550228,8.733477695021854,303.12034403230757,1.467703996010059,2.3852684181820574
0.7800,23.772967514551834,16.533968355164653,7.2389991593871805,331.4298853795933,1.4574750866403672,2.419705590246828
0.7900,23.623904046447258,16.155988380843667,7.46791566560359,323.85312843449765,1.46487654843517,2.5011331946955906
0.8000,23.394333894412185,16.41221096744664,6.982122926965544,328.98921075214406,1.4745924443202731,2.578363158981866
0.8100,23.386519023216447,15.164447169542274,8.222071853674173,303.977295666975,1.4727833064109104,2.603039480846096
0.8200,23.510517012132127,14.02607701387722,9.484439998254905,281.1582190782766,1.4636431845134654,2.5923326270096303
0.8300,23.85969282363552,14.215721620999803,9.643971202635718,284.95971966490754,1.4628521620716066,2.592558982089133
0.8400,24.0411043453756,14.888154114194968,9.15295023118063,298.43889292554655,1.4784908168210444,2.597022757306383
0.8500,23.688314928884644,19.182841009051813,4.505473919832832,384.5275774281408,1.5024687677588529,2.565996563801419
0.8600,23.33118261976221,14.818441291971451,8.51274132779076,297.041472041297,1.5213070381578229,2.511377762926751
0.8700,23.28403616033506,17.044354172849282,6.239681987485778,341.6607694251496,1.5271381345101904,2.4724950471317886
0.8800,23.325880379293082,13.286632384938912,10.03924799435417,266.33576125392574,1.52308285431358,2.4479773831319447
0.8900,23.59965978650019,15.101520053162359,8.49813973333783,302.71589691979835,1.5187380212567003,2.429969368358905
0.9000,23.832429883737294,14.185296917821638,9.647132965915656,284.34984454778856,1.5240708900076545,2.457063039383883
0.9100,23.65419752358071,17.3592357855285,6.294961738052209,347.9726949445798,1.5339463446171948,2.542550295531974
0.9200,23.56827003372102,15.520002423322289,8.04826761039873,311.10454028696444,1.5308416142215782,2.61822257772744
0.9300,23.205055992228992,17.643199158482652,5.561856833746338,353.66485221309176,1.5060447694781283,2.62322415876977
0.9400,23.14992660674341,14.826745278457944,8.323181328285466,297.2079287097926,1.472731737617875,2.5829654490629723
0.9500,23.36417193089703,12.965249839311213,10.398922091585817,259.8935219818808,1.4519131881057912,2.55204107059218
0.9600,23.88536882005954,15.184952024026822,8.700416796032716,304.3883235234192,1.4539345151738654,2.5412965207680194
0.9700,23.474295975315684,17.08600431396082,6.388291661354861,342.4956628517074,1.4702885332449962,2.531089176745163
0.9800,23.479106451079303,15.638091071986508,7.841015379092793,313.4716736000742,1.4813837989623735,2.4992388544713195
0.9900,23.21732880724571,16.58380618212082,6.633522625124889,332.4289041826317,1.4763282727493987,2.4379707824796255
1.0000,23.1912507140512,15.387719333209192,7.803531380842009,308.4528738235926,1.4662048976207804,2.38418697732788
